"SeriesName","LookupTicker","Type","Index","Source","StartRange","EndRange","Frequency"
"AllOrdinaries","^AORD ","index","AORD","yahoo","NULL","NULL","d"
"ShanghaiComposite","^SSEC ","index","SSEC","yahoo","NULL","NULL","d"
"HANG_SENG_INDEX","^HSI ","index","HSI","yahoo","NULL","NULL","d"
"BSE","^BSESN ","index","BSESN ","yahoo","NULL","NULL","d"
"Jakarta_Composite    ","^JKSE ","index","JKSE ","yahoo","NULL","NULL","d"
"KLSE_Composite","^KLSE ","index","KLSE ","yahoo","NULL","NULL","d"
"Nikkei","^N225 ","index","N225 ","yahoo","NULL","NULL","d"
"NZSE","^NZ50 ","index","NZ50 ","yahoo","NULL","NULL","d"
"STRAITS _TIMES_INDEX","^STI ","index","STI ","yahoo","NULL","NULL","d"
"KOSPI","^KS11 ","index","KS11 ","yahoo","NULL","NULL","d"
"Taiwan_Weighted","^TWII ","index","TWII ","yahoo","NULL","NULL","d"
"MerVal","^MERV","index","MERV","yahoo","NULL","NULL","d"
"Bovespa","^BVSP","index","BVSP","yahoo","NULL","NULL","d"
"S&P_TSX","^GSPTSE","index","GSPTSE","yahoo","NULL","NULL","d"
"IPC","^MXX","index","MXX","yahoo","NULL","NULL","d"
"SP500","^GSPC","index","GSPC","yahoo","NULL","NULL","d"
"ATX","^ATX","index","ATX","yahoo","NULL","NULL","d"
"CAC ","^FCHI","index","FCHI","yahoo","NULL","NULL","d"
"DAX","^GDAXI","index","GDAXI","yahoo","NULL","NULL","d"
"AEX","^AEX.AS","index","AEX.AS","yahoo","NULL","NULL","d"
"OSE","^OSEAX","index","OSEAX","yahoo","NULL","NULL","d"
"Stockholm_General","^OMXSPI","index","OMXSPI","yahoo","NULL","NULL","d"
"Swiss_Market","^SSMI","index","SSMI","yahoo","NULL","NULL","d"
"FTSE_100","^FTSE","index","FTSE","yahoo","NULL","NULL","d"
"PXIndex","^FPXAA.PR","index","FPXAA.PR","yahoo","NULL","NULL","d"
