"SeriesName","LookupTicker","Type","Index","Source","StartRange","EndRange","Frequency"
"MMM","MMM","equity","SP500","yahoo","NULL","NULL","d"
"ACE","ACE","equity","SP500","yahoo","NULL","NULL","d"
"ABT","ABT","equity","SP500","yahoo","NULL","NULL","d"
"ANF","ANF","equity","SP500","yahoo","NULL","NULL","d"
"ADBE","ADBE","equity","SP500","yahoo","NULL","NULL","d"
"AMD","AMD","equity","SP500","yahoo","NULL","NULL","d"
"AES","AES","equity","SP500","yahoo","NULL","NULL","d"
"AET","AET","equity","SP500","yahoo","NULL","NULL","d"
"AFL","AFL","equity","SP500","yahoo","NULL","NULL","d"
"A","A","equity","SP500","yahoo","NULL","NULL","d"
"APD","APD","equity","SP500","yahoo","NULL","NULL","d"
"ARG","ARG","equity","SP500","yahoo","NULL","NULL","d"
"AKS","AKS","equity","SP500","yahoo","NULL","NULL","d"
"AKAM","AKAM","equity","SP500","yahoo","NULL","NULL","d"
"AA","AA","equity","SP500","yahoo","NULL","NULL","d"
"AYE","AYE","equity","SP500","yahoo","NULL","NULL","d"
"ATI","ATI","equity","SP500","yahoo","NULL","NULL","d"
"AGN","AGN","equity","SP500","yahoo","NULL","NULL","d"
"ALL","ALL","equity","SP500","yahoo","NULL","NULL","d"
"ALTR","ALTR","equity","SP500","yahoo","NULL","NULL","d"
"MO","MO","equity","SP500","yahoo","NULL","NULL","d"
"AMZN","AMZN","equity","SP500","yahoo","NULL","NULL","d"
"AEE","AEE","equity","SP500","yahoo","NULL","NULL","d"
"AEP","AEP","equity","SP500","yahoo","NULL","NULL","d"
"AXP","AXP","equity","SP500","yahoo","NULL","NULL","d"
"AIG","AIG","equity","SP500","yahoo","NULL","NULL","d"
"AMT","AMT","equity","SP500","yahoo","NULL","NULL","d"
"AMP","AMP","equity","SP500","yahoo","NULL","NULL","d"
"ABC","ABC","equity","SP500","yahoo","NULL","NULL","d"
"AMGN","AMGN","equity","SP500","yahoo","NULL","NULL","d"
"APH","APH","equity","SP500","yahoo","NULL","NULL","d"
"APC","APC","equity","SP500","yahoo","NULL","NULL","d"
"ADI","ADI","equity","SP500","yahoo","NULL","NULL","d"
"AON","AON","equity","SP500","yahoo","NULL","NULL","d"
"APA","APA","equity","SP500","yahoo","NULL","NULL","d"
"AIV","AIV","equity","SP500","yahoo","NULL","NULL","d"
"APOL","APOL","equity","SP500","yahoo","NULL","NULL","d"
"AAPL","AAPL","equity","SP500","yahoo","NULL","NULL","d"
"AMAT","AMAT","equity","SP500","yahoo","NULL","NULL","d"
"ADM","ADM","equity","SP500","yahoo","NULL","NULL","d"
"AIZ","AIZ","equity","SP500","yahoo","NULL","NULL","d"
"T","T","equity","SP500","yahoo","NULL","NULL","d"
"ADSK","ADSK","equity","SP500","yahoo","NULL","NULL","d"
"ADP","ADP","equity","SP500","yahoo","NULL","NULL","d"
