Spot, Strike, Vol, Expiry, BSC_An_Vega, BSC_Bumped_Vega, MC_Results, NumberOfPaths 
40,50,0.0100001,1e-07,1e-07,1e-07,1e-07,10000,
40,50,0.0100001,0.2,1e-07,1e-07,1e-07,10000,
40,50,0.0100001,0.4,1e-07,1e-07,1e-07,10000,
40,50,0.0100001,0.6,1e-07,1e-07,1e-07,10000,
40,50,0.0100001,0.8,1e-07,1e-07,1e-07,10000,
40,50,0.0100001,1,1e-07,1e-07,1e-07,10000,
40,50,0.0480001,1e-07,1e-07,1e-07,1e-07,10000,
40,50,0.0480001,0.2,1e-07,1e-07,1e-07,10000,
40,50,0.0480001,0.4,1.02112e-07,1.02104e-07,1e-07,10000,
40,50,0.0480001,0.6,1.8899e-05,1.87722e-05,1.8055e-05,10000,
40,50,0.0480001,0.8,0.00174856,0.00174352,0.000239594,10000,
40,50,0.0480001,1,0.0260025,0.0259738,0.00095489,10000,
40,50,0.0860001,1e-07,1e-07,1e-07,1e-07,10000,
40,50,0.0860001,0.2,1.80027e-06,1.78583e-06,1e-07,10000,
40,50,0.0860001,0.4,0.0104454,0.010431,0.000864933,10000,
40,50,0.0860001,0.6,0.203381,0.20335,0.00426736,10000,
40,50,0.0860001,0.8,0.918299,0.91834,0.0147032,10000,
40,50,0.0860001,1,2.29081,2.2909,0.0377599,10000,
40,50,0.124,1e-07,1e-07,1e-07,1e-07,10000,
40,50,0.124,0.2,0.00491674,0.00490867,0.00071607,10000,
40,50,0.124,0.4,0.389751,0.389752,0.00953283,10000,
40,50,0.124,0.6,1.80067,1.80074,0.042983,10000,
40,50,0.124,0.8,3.99488,3.99489,0.109211,10000,
40,50,0.124,1,6.55178,6.5517,0.208224,10000,
40,50,0.162,1e-07,1e-07,1e-07,1e-07,10000,
40,50,0.162,0.2,0.104713,0.104694,0.0043847,10000,
40,50,0.162,0.4,1.56283,1.56288,0.0491213,10000,
40,50,0.162,0.6,4.15617,4.15614,0.157857,10000,
40,50,0.162,0.8,7.01833,7.01825,0.320367,10000,
40,50,0.162,1,9.79703,9.79698,0.51946,10000,
40,50,0.2,1e-07,1e-07,1e-07,1e-07,10000,
40,50,0.2,0.2,0.463666,0.463686,0.0173895,10000,
40,50,0.2,0.4,3.07027,3.07026,0.138972,10000,
40,50,0.2,0.6,6.23965,6.23958,0.356523,10000,
40,50,0.2,0.8,9.22442,9.22439,0.627079,10000,
40,50,0.2,1,11.9029,11.9029,0.930506,10000,
40.5,50,0.0100001,1e-07,1e-07,1e-07,1e-07,10000,
40.5,50,0.0100001,0.2,1e-07,1e-07,1e-07,10000,
40.5,50,0.0100001,0.4,1e-07,1e-07,1e-07,10000,
40.5,50,0.0100001,0.6,1e-07,1e-07,1e-07,10000,
40.5,50,0.0100001,0.8,1e-07,1e-07,1e-07,10000,
40.5,50,0.0100001,1,1e-07,1e-07,1e-07,10000,
40.5,50,0.0480001,1e-07,1e-07,1e-07,1e-07,10000,
40.5,50,0.0480001,0.2,1e-07,1e-07,1e-07,10000,
40.5,50,0.0480001,0.4,1.30214e-07,1.29545e-07,1e-07,10000,
40.5,50,0.0480001,0.6,0.000101576,0.000101049,7.89323e-05,10000,
40.5,50,0.0480001,0.8,0.00579749,0.00578594,0.000422735,10000,
40.5,50,0.0480001,1,0.0643575,0.0643159,0.00148758,10000,
40.5,50,0.0860001,1e-07,1e-07,1e-07,1e-07,10000,
40.5,50,0.0860001,0.2,9.8264e-06,9.75972e-06,1.43099e-05,10000,
40.5,50,0.0860001,0.4,0.02403,0.0240081,0.00133303,10000,
40.5,50,0.0860001,0.6,0.345359,0.345345,0.00626184,10000,
40.5,50,0.0860001,0.8,1.33971,1.33978,0.021407,10000,
40.5,50,0.0860001,1,3.0511,3.05117,0.0523078,10000,
40.5,50,0.124,1e-07,1e-07,1e-07,1e-07,10000,
40.5,50,0.124,0.2,0.0114131,0.0114002,0.00111614,10000,
40.5,50,0.124,0.4,0.583754,0.583777,0.0135702,10000,
40.5,50,0.124,0.6,2.33049,2.33055,0.0575123,10000,
40.5,50,0.124,0.8,4.80621,4.80618,0.139305,10000,
40.5,50,0.124,1,7.54448,7.54438,0.256909,10000,
40.5,50,0.162,1e-07,1e-07,1e-07,1e-07,10000,
40.5,50,0.162,0.2,0.171947,0.171935,0.00614856,10000,
40.5,50,0.162,0.4,1.98526,1.98531,0.0646009,10000,
40.5,50,0.162,0.6,4.8466,4.84655,0.195481,10000,
40.5,50,0.162,0.8,7.84146,7.84138,0.381341,10000,
40.5,50,0.162,1,10.6686,10.6686,0.602276,10000,
40.5,50,0.2,1e-07,1e-07,1e-07,1e-07,10000,
40.5,50,0.2,0.2,0.643359,0.643391,0.0240736,10000,
40.5,50,0.2,0.4,3.59979,3.59976,0.171913,10000,
40.5,50,0.2,0.6,6.91638,6.91632,0.419471,10000,
40.5,50,0.2,0.8,9.94183,9.94183,0.717099,10000,
40.5,50,0.2,1,12.6143,12.6144,1.04439,10000,
41,50,0.0100001,1e-07,1e-07,1e-07,1e-07,10000,
41,50,0.0100001,0.2,1e-07,1e-07,1e-07,10000,
41,50,0.0100001,0.4,1e-07,1e-07,1e-07,10000,
41,50,0.0100001,0.6,1e-07,1e-07,1e-07,10000,
41,50,0.0100001,0.8,1e-07,1e-07,1e-07,10000,
41,50,0.0100001,1,1e-07,1e-07,1e-07,10000,
41,50,0.0480001,1e-07,1e-07,1e-07,1e-07,10000,
41,50,0.0480001,0.2,1e-07,1e-07,1e-07,10000,
41,50,0.0480001,0.4,4.54954e-07,4.51483e-07,1e-07,10000,
41,50,0.0480001,0.6,0.00048096,0.000479116,0.00013981,10000,
41,50,0.0480001,0.8,0.0174474,0.017425,0.000734196,10000,
41,50,0.0480001,1,0.147502,0.147455,0.002177,10000,
41,50,0.0860001,1e-07,1e-07,1e-07,1e-07,10000,
41,50,0.0860001,0.2,4.92603e-05,4.89959e-05,7.55995e-05,10000,
41,50,0.0860001,0.4,0.051988,0.0519595,0.00192077,10000,
41,50,0.0860001,0.6,0.563099,0.563111,0.00922984,10000,
41,50,0.0860001,0.8,1.8963,1.89638,0.0308874,10000,
41,50,0.0860001,1,3.96734,3.96738,0.0721732,10000,
41,50,0.124,1e-07,1e-07,1e-07,1e-07,10000,
41,50,0.124,0.2,0.0249605,0.0249425,0.00164354,10000,
41,50,0.124,0.4,0.848836,0.848879,0.0195961,10000,
41,50,0.124,0.6,2.95771,2.95774,0.0767874,10000,
41,50,0.124,0.8,5.69859,5.69852,0.176884,10000,
41,50,0.124,1,8.58753,8.58744,0.314299,10000,
41,50,0.162,1e-07,1e-07,1e-07,1e-07,10000,
41,50,0.162,0.2,0.272654,0.272654,0.00871932,10000,
41,50,0.162,0.4,2.47846,2.47849,0.0846647,10000,
41,50,0.162,0.6,5.58707,5.587,0.240719,10000,
41,50,0.162,0.8,8.6863,8.68625,0.450895,10000,
41,50,0.162,1,11.5388,11.5388,0.696004,10000,
41,50,0.2,1e-07,1e-07,1e-07,1e-07,10000,
41,50,0.2,0.2,0.872433,0.872473,0.033015,10000,
41,50,0.2,0.4,4.17271,4.17266,0.211895,10000,
41,50,0.2,0.6,7.60865,7.6086,0.490538,10000,
41,50,0.2,0.8,10.6546,10.6547,0.816516,10000,
41,50,0.2,1,13.3083,13.3084,1.16838,10000,
41.5,50,0.0100001,1e-07,1e-07,1e-07,1e-07,10000,
41.5,50,0.0100001,0.2,1e-07,1e-07,1e-07,10000,
41.5,50,0.0100001,0.4,1e-07,1e-07,1e-07,10000,
41.5,50,0.0100001,0.6,1e-07,1e-07,1e-07,10000,
