Spot, Strike, Vol, Expiry, BSC_An_price, MC_price, numberPaths 
40,42,0.0100001,1e-07,1e-07,1e-07,10000,
40,42,0.0100001,0.2,1e-07,1e-07,10000,
40,42,0.0100001,0.4,2.37227e-07,1.98673e-05,10000,
40,42,0.0100001,0.6,0.000787019,0.00118365,10000,
40,42,0.0100001,0.8,0.0309342,0.030741,10000,
40,42,0.0100001,1,0.184827,0.183436,10000,
40,42,0.0480001,1e-07,1e-07,1e-07,10000,
40,42,0.0480001,0.2,0.0122782,0.0136971,10000,
40,42,0.0480001,0.4,0.113127,0.112427,10000,
40,42,0.0480001,0.6,0.294438,0.292263,10000,
40,42,0.0480001,0.8,0.525865,0.520741,10000,
40,42,0.0480001,1,0.78986,0.782761,10000,
40,42,0.0860001,1e-07,1e-07,1e-07,10000,
40,42,0.0860001,0.2,0.128548,0.128077,10000,
40,42,0.0860001,0.4,0.416864,0.413973,10000,
40,42,0.0860001,0.6,0.735937,0.729471,10000,
40,42,0.0860001,0.8,1.06405,1.05407,10000,
40,42,0.0860001,1,1.39543,1.38298,10000,
40,42,0.124,1e-07,1e-07,1e-07,10000,
40,42,0.124,0.2,0.323345,0.320958,10000,
40,42,0.124,0.4,0.769794,0.763858,10000,
40,42,0.124,0.6,1.1968,1.18614,10000,
40,42,0.124,0.8,1.60575,1.59139,10000,
40,42,0.124,1,2.00057,1.98337,10000,
40,42,0.162,1e-07,1e-07,1e-07,10000,
40,42,0.162,0.2,0.552604,0.548976,10000,
40,42,0.162,0.4,1.13894,1.12972,10000,
40,42,0.162,0.6,1.66333,1.64893,10000,
40,42,0.162,0.8,2.14809,2.12991,10000,
40,42,0.162,1,2.60502,2.58387,10000,
40,42,0.2,1e-07,1e-07,1e-07,10000,
40,42,0.2,0.2,0.798616,0.793179,10000,
40,42,0.2,0.4,1.51516,1.50295,10000,
40,42,0.2,0.6,2.13203,2.11446,10000,
40,42,0.2,0.8,2.69025,2.6689,10000,
40,42,0.2,1,3.20855,3.18433,10000,
40,45.2,0.0100001,1e-07,1e-07,1e-07,10000,
40,45.2,0.0100001,0.2,1e-07,1e-07,10000,
40,45.2,0.0100001,0.4,1e-07,1e-07,10000,
40,45.2,0.0100001,0.6,1e-07,1e-07,10000,
